,Ma-Cycling,Ma-Endo,Ma-Fibro,Ma-Fn1,Ma-MD-Cxcl3,Ma-MD-Isg15,Ma-MD-Mpeg1,Ma-MD-Prdx1,Ma-TR-Cd83+,Ma-TR-Cd83-,Ma-TR-Cd163,Ma-lowGC,Ma-MD-Ccl2
1,smc4,cd81a,tnnt2b,rps28,ms4a17a.4,ms4a17a.4,rpl5a,si:dkey-26g8.5,ms4a17a.4,ms4a17a.4,ms4a17a.4,ms4a17a.4,ms4a17a.4
2,lig1,cd151l,tnnt2a,gpx9,si:dkey-26g8.5,ms4a17a.4,zc3h11a,ctslb,si:ch73-56d11.5,si:ch73-56d11.5,f13a1b,si:ch73-56d11.5,si:dkey-26g8.5
3,dtymk,cd248b,cd81a,nupr1b,ctslb,ms4a17a.4,ptbp3,ms4a17a.4,ccr11.1,ccr11.1,ms4a17a.4,cd81a,ctslb
4,cdk1,ebf3a,si:zfos-2330d3.7,thbs1b,si:ch73-56d11.5,si:ch73-56d11.5,rpl5b,ms4a17a.4,cd81a,cd81a,si:ch73-56d11.5,pcsk5a,dok2
5,hnrnpa0l,ebf1b,si:ch1073-110a20.1,txn,plin2,psme2,gnai2b,sh3bgrl3,c1qa,txnipb,cd81a,c1qa,si:ch73-56d11.5
6,npm1a,si:zfos-1837d3.1,si:ch1073-110a20.3,rpl36,ybx1,si:ch73-56d11.5,cd248b,si:ch73-56d11.5,ubb,c1qa,si:ch73-56d11.5,si:dkey-7j14.6,plin2
7,snrpd1,col4a2,si:zfos-1837d3.1,cd44a,thbs1b,si:ch73-56d11.5,abca1a,si:ch73-56d11.5,rpl36,RAMP1,NINJ1,c1qc,ybx1
8,c1qc,serpinh1a,rbp1.1,s100t,asgrl1,psmb8a,mpeg1.3,plin2,c1qc,rpl23a,c1qa,prmt9,si:dkey-7j14.6
9,tpx2,aplp2,col4a2,pgam1b,si:dkey-7j14.6,ifit12,gnsa,anxa5b,cdkn1a,c1qc,gas6,dcxr,cfl1
10,ybx1,ramp2,mgp,si:dkey-14d8.20,mt2,si:dkey-7j14.6,cyfip1,si:dkey-7j14.6,rpl18a,rpl18a,si:dkey-7j14.6,ttyh2,dynll1
11,tacc3,tm4sf18,serpinh1a,s100t,cdkn1a,ifit12,tln1,atp6v0e1,si:dkey-7j14.6,si:ch211-232i5.3,c1qc,ctsd,s100t
12,birc5a,icn,tm4sf18,s100v2,ms4a17a.3,ifi35,coro1b,ybx1,NPC2,rpl21,NPC2,polh,mrpl52
13,ywhah,cxcl12b,lamb1a,s100v1,ms4a17c.2,cmpk2,uba52,mt2,rps15,si:dkey-7j14.6,si:dkey-7j14.6,ms4a17a.3,ctsd
14,smc2,sptbn1,lamb1b,ctsd,si:dkey-238j22.1,psmb10,actr2a,NPC2,UBB,asgrl1,itm2bb,ms4a17c.2,rps18
15,ezh2,adgrl4,pcolcea,s100t,ms4a17c.1,ifit12,mpeg1.1,si:dkey-7j14.6,itm2bb,zgc:163030,cd63,si:dkey-238j22.1,ecm1a
16,nucks1b,laptm4a,MFAP4,gapdh,pgam1b,si:dkey-7j14.6,uba7,mpeg1.3,npc2,si:ch211-193e13.5,wwp1,ms4a17c.1,gapdh
17,si:dkey-6i22.5,jam2b,si:ch1073-110a20.2,ecm1a,s100t,ifit12,lipf,cd63,rpl13a,rpl6,mafa,rpgrip1,s100t
18,csrp1a,cd36,col1a1b,si:ch211-69b7.6,cd44a,si:dkey-7j14.6,nfic,capns1a,fosb,rps11,ms4a17a.3,cd63,capga
19,ccnb2,tspan7b,cnn3a,atp1b3b,s100t,psmb9a,grn2,edf1,ms4a17a.3,rpl13a,ms4a17c.2,lars2,capgb
20,sptssa,rasip1,cd63,ccl35.1,capga,NPC2,grn1,ctsd,ms4a17c.2,ms4a17a.3,si:dkey-238j22.1,syn2a,s100t
21,serbp1a,tcf15,postnb,rps26,capgb,xaf1,si:dkeyp-121d4.3,lipf,si:dkey-238j22.1,ms4a17c.2,ms4a17c.1,lgmn,pgam1b
22,snrpe,icn2,dpt,tbxas1,gapdh,ms4a17a.3,ppp1r9ba,ms4a17a.3,ms4a17c.1,si:dkey-238j22.1,npc2,bhlhe41,ms4a17a.3
23,ccnb1,plpp3,sptbn1,ldha,ecm1a,ms4a17c.2,DAB2,ms4a17c.2,hexb,ms4a17c.1,rnasel2,pam,ms4a17c.2
24,top2a,crip2l,mfap5,ccl35.1,ifrd1,si:dkey-238j22.1,dab2,si:dkey-238j22.1,rps11,hexb,ms4a17a.3,wdr92,si:dkey-238j22.1
25,hnrnpa0b,si:ch211-51e8.2,icn,fn1a,s100t,ms4a17c.1,ctsa,ms4a17c.1,ifrd1,irf8,ms4a17c.2,rac3b,ms4a17c.1
26,hnrnpa0a,id1,hspb1,fn1b,dynll1,stat1a,eif4g2b,ms4a17a.3,sdc4,itm2bb,si:dkey-238j22.1,fhl3a,ecm1b
27,ppifa,tspan13b,htra3a,appb,tgm2b,stat1b,cmip,ms4a17c.2,zgc:163030,rps18,ms4a17c.1,atp6v0cb,zgc:174153
28,nucks1a,col4a1,nedd4a,ecm1b,si:cabz01007816.2,ms4a17a.3,wdr92,si:dkey-238j22.1,rps23,cst3,dcxr,grn2,si:dkey-239j18.2
29,anp32e,esamb,dcn,cybb,tpi1a,ms4a17c.2,lrp1ab,ms4a17c.1,eef1a1a,tgfbr1a,zgc:163030,grn1,si:dkey-269i1.4
30,anapc11,gngt1,col1a2,add3a,id2b,si:dkey-238j22.1,si:ch211-259g3.4,pgam1b,gadd45bb,si:cabz01007816.2,lgmn,ms4a17a.6,ctsla
31,LSM2,serpinh1b,slc25a4,srgn,btg1,ms4a17c.1,p4hb,npc2,ccl35.1,pltp,DAB2,si:dkey-174k12.3,zgc:174154
32,zgc:153293,myct1b,pcolceb,ccl35.1,rplp0,npc2,mpeg1.2,mpeg1.1,rpl17,rpl29,dab2,ms4a17a.7,si:dkey-239j18.3
33,mcm6,epas1a,fstl1a,rps8a,si:cabz01007816.2,si:dkey-14d8.20,cd248a,atp6v0b,hspa8b,lgmn,zgc:172271,ms4a17a.5,fn1a
34,hmgb1b,ushbp1,pam,TXN,ccl35.1,si:ch211-219a4.3,cybb,fabp11a,rpl39,si:cabz01007816.2,clta,si:dkey-261j15.2,fn1b
35,nudc,si:dkey-237i9.8,serpinh1b,rap1b,srgn,tapbp.2,dhrs3b,capga,cst3,zgc:172271,si:ch211-222f23.6,hpxa,baxa
36,tubb4b,arhgap31,calua,eno1a,rpl8,tap1,dhrs3a,capgb,nfkbiz,eef1a1a,cst3,mmp13b,ccl35.1
37,lsm5,cd248a,zmp:0000001323,aclyb,zgc:174153,itm2bb,mcl1a,prdx1,lgmn,snx5,pltp,mmp25a,rps17
38,rrm2,flt1,mfap4,aclya,si:dkey-239j18.2,trafd1,ptp4a2a,snx5,rgs1,hpgd,dhrs3b,ms4a17a.12,pkma
39,hmgb2a,cdh13,gngt1,EMP3,si:dkey-269i1.4,ms4a17a.3,ptp4a2b,uqcrb,ms4a17a.6,si:ch211-170d8.8,dhrs3a,ms4a17a.10,rpl8
40,ppiaa,hspb1,tpma,emp3b,ctsla,ms4a17c.2,si:ch211-69b7.6,tmem256,si:dkey-174k12.3,si:cabz01007816.2,hpgd,tmem176l.3a,si:cabz01007816.2
41,mcm5,id3,postna,s100s,zgc:174154,si:dkey-238j22.1,appb,ms4a17a.6,ms4a17a.7,ms4a17a.6,ccl35.1,si:dkey-77f5.10,uqcc2
42,asf1bb,cxcl12a,col4a1,si:ch73-237c6.1,si:dkey-239j18.3,ms4a17c.1,itgb2,si:dkey-174k12.3,ms4a17a.5,si:dkey-174k12.3,snx5,zgc:113425,tpi1a
43,tmpob,fermt2,gpx1b,cfp,ecm1b,ms4a17a.6,ucp2,ms4a17a.7,zgc:172271,ms4a17a.7,ms4a17a.6,cavin2a,rps8a
44,tmpoa,crip2,lamc2,anxa3b,slc16a3,si:dkey-174k12.3,tpp1,ms4a17a.5,rpl26,ms4a17a.5,si:dkey-174k12.3,cavin2b,myl12.2
45,selenoh,ablim1b,rbp1.2,anxa3a,pkma,ms4a17a.7,wdr26b,syngr1a,rps19,rpl26,ms4a17a.7,gpnmb,eef1g
46,rpsa,ablim1a,col5a1,rps19,fn1a,ms4a17a.5,itgb1a,mpeg1.2,gadd45ba,mef2cb,ms4a17a.5,cd74a,ccl35.1
47,rpl12,cald1b,crip2l,s100a10a,fn1b,phf11,gnai2a,txndc17,si:cabz01074946.1,pou2f2a,ntpcr,serping1,prdx1
48,rpl10a,sparc,icn2,s100s,ccl35.1,hmox2a,appa,dhrs3b,eef2l2,cybb,ms4a17a.6,lgals3b,ms4a17a.6
49,hmgn2,si:dkey-31e10.5,hspg2,ptgs1,ldha,si:dkeyp-82a1.6,sgpl1,dhrs3a,eef1a1l2,tmem119b,si:dkey-174k12.3,si:dkey-95h12.2,si:dkey-174k12.3
50,zgc:65894,si:dkey-31e10.1,lhfpl6,sem1,tgfbi,tapbp.1,si:zfos-1069f5.1,pld3,rpl13,inppl1b,ms4a17a.7,fhl3b,ms4a17a.7
51,TUBB4B,podxl,fbln2,atp1b3a,hif1aa,rsad2,csf1ra,anxa4,hspa8,si:dkey-26c10.5,ms4a17a.5,selenow1,ms4a17a.5
52,sae1,nrp1a,sdc2,si:ch73-127m5.1,adam8b,grn2,abca1b,gusb,rpl30,rpl13,lyve1b,atp6v0ca,uqcrb
53,ube2s,kitlga,fstl1b,mif,prelid1a,grn1,tpt1,rgs1,rpl10a,eef1a1l2,grn2,apoeb,prelid1a
54,hnrnpa1b,kitlgb,aspn,emilin2a,hspa8b,samhd1,slc6a6a,lgmn,apoeb,si:cabz01074946.1,grn1,igf1,txndc17
55,tk1,si:dkey-261h17.1,BX663503.3,emilin2b,plek,daxx,csde1,ppifa,ctsh,rps19,bin1b,slc2a12,rps26
